,Tickers,Momentum,ID
167,ENPH,4.566941582244909,-0.2094861660079051
68,BLK,0.4032428104083776,-0.20158102766798414
65,BIO,0.6151501184572745,-0.20158102766798414
240,IDXX,0.8444705992575168,-0.20158102766798414
401,ROL,0.5574960446443435,-0.18577075098814233
430,TTWO,0.6671212636686694,-0.18577075098814233
80,CDNS,0.8919704828874508,-0.18577075098814233
446,TRMB,0.5703197536272588,-0.17786561264822137
428,TMUS,0.7028665481263616,-0.16996047430830036
325,MSCI,0.5753219709923094,-0.16996047430830036
381,PTC,0.4390038096488156,-0.16996047430830036
345,NVDA,1.2123321261530364,-0.1620553359683794
359,PAYC,0.42145459766934223,-0.1620553359683794
373,POOL,0.7137080065112444,-0.1620553359683794
11,A,0.4444722641360137,-0.1541501976284585
365,PKI,0.5549574868884892,-0.1541501976284585
53,ADSK,0.5511302355628296,-0.1541501976284585
15,ALB,0.8686258319705271,-0.1541501976284585
87,CARR,1.2068739669511883,-0.14999999999999997
320,MNST,0.3885886708070829,-0.1462450592885376
253,ISRG,0.46146688479317777,-0.1462450592885376
426,SNPS,0.7574401727901985,-0.1462450592885376
437,TSLA,4.4234747338237606,-0.1462450592885376
6,ADBE,0.4242751445400188,-0.13833992094861663
387,PWR,0.8482477235129369,-0.13833992094861663
443,TT,0.4308159880785509,-0.13833992094861663
269,KEYS,0.4204753131772583,-0.13043478260869562
350,ODFL,0.4972399755143895,-0.13043478260869562
360,PYPL,1.0563701659790232,-0.13043478260869562
255,IPGP,0.7528784874735586,-0.12252964426877466
3,ABMD,0.7402975140434682,-0.11462450592885376
309,MTD,0.5051639831150951,-0.11462450592885376
134,DHR,0.3866004690040028,-0.11462450592885376
448,TWTR,0.6671798734314434,-0.11462450592885376
440,TMO,0.490794004688879,-0.10671936758893286
5,ATVI,0.5981644731160214,-0.10671936758893286
188,FDX,0.8218752583503695,-0.10671936758893286
175,ETSY,2.6449497778433257,-0.10671936758893286
415,SWKS,0.37129064960216707,-0.10671936758893286
24,AMZN,0.6213957043004763,-0.0988142292490119
186,FAST,0.4370144426332476,-0.0988142292490119
102,CMG,0.5998776423850833,-0.0988142292490119
412,NOW,0.6273836584478334,-0.0988142292490119
273,KLAC,0.5903724139052862,-0.0988142292490119
88,CTLT,0.7032733599642083,-0.0988142292490119
141,DXCM,0.5357009396498569,-0.0988142292490119
438,TXN,0.39036733796524725,-0.0988142292490119
278,LRCX,0.609816633220676,-0.09090909090909088
203,FCX,1.344143902067982,-0.09090909090909088
319,MPWR,1.1579420510837224,-0.09090909090909088
