,Tickers,Momentum,ID
80,CDNS,0.6146274345121499,-0.20805369127516782
87,CARR,0.7769500859534753,-0.20588235294117646
365,PKI,0.6697981524549146,-0.19463087248322153
490,WHR,1.182876686122726,-0.19463087248322153
387,PWR,0.6723592943636472,-0.1677852348993289
240,IDXX,0.6228119899157452,-0.1677852348993289
24,AMZN,0.6149652400253294,-0.1677852348993289
15,ALB,0.5974144200744231,-0.1677852348993289
345,NVDA,1.0547380334476708,-0.1677852348993289
332,NWS,0.5653595762832619,-0.1543624161073826
291,LOW,0.9461206661761836,-0.1543624161073826
426,SNPS,0.6614644528487519,-0.1543624161073826
406,CRM,0.7455203138066819,-0.1543624161073826
6,ADBE,0.5410696572564406,-0.1543624161073826
125,CPRT,0.5347345127570231,-0.1543624161073826
188,FDX,1.090134708908006,-0.1543624161073826
161,EBAY,0.7446362503489319,-0.1543624161073826
134,DHR,0.5587526919395684,-0.1543624161073826
44,AAPL,0.8299244071133951,-0.1409395973154362
360,PYPL,1.057969533900085,-0.1409395973154362
419,SWK,0.6378974815578502,-0.1409395973154362
76,AVGO,0.5665504000307555,-0.1409395973154362
373,POOL,0.7078604202498266,-0.1409395973154362
81,CZR,2.893055754053745,-0.12751677852348992
415,SWKS,0.6399495264700059,-0.12751677852348992
437,TSLA,3.09360684420733,-0.12751677852348992
64,BBY,0.9758478184622597,-0.12751677852348992
362,PNR,0.5543164054206444,-0.12751677852348992
331,NWSA,0.5715118585589836,-0.12751677852348992
207,GNRC,1.0783514349600045,-0.12751677852348992
185,FB,0.5701438195730559,-0.12751677852348992
3,ABMD,0.9086524563853657,-0.12751677852348992
446,TRMB,0.530003169326718,-0.12751677852348992
78,CHRW,0.5610949153681404,-0.11409395973154357
126,GLW,0.6036808067992012,-0.11409395973154357
440,TMO,0.5586546056465085,-0.11409395973154357
433,TEL,0.5694874832629309,-0.11409395973154357
361,PENN,4.747035505182787,-0.11409395973154357
460,URI,0.6958211604701874,-0.11409395973154357
167,ENPH,1.5577576338245147,-0.11409395973154357
107,CTAS,0.9214292796196915,-0.11409395973154357
199,FBHS,1.0136074129697894,-0.10067114093959728
229,HOLX,0.8937323108350232,-0.10067114093959728
203,FCX,1.3170369867947076,-0.10067114093959728
102,CMG,0.9005347104794115,-0.08724832214765099
448,TWTR,0.8118892902138954,-0.08724832214765099
319,MPWR,0.6764597274146531,-0.08724832214765099
489,WY,0.6825959603034542,-0.08724832214765099
384,PHM,1.0863071698044484,-0.08724832214765099
301,MAS,0.6045145006466013,-0.08724832214765099
